order_id,customer_key,product_key,region_key,date_key,quantity,revenue,discount,profit
ORD100000,1,1,1,20240824,2,1623.25,0.2,-169.05
ORD100000,1385,1,1,20240824,2,1623.25,0.2,-169.05
ORD100000,2053,1,1,20240824,2,1623.25,0.2,-169.05
ORD100001,2,2,2,20240223,10,15814.13,0.2,-1755.29
ORD100001,1056,2,2,20240223,10,15814.13,0.2,-1755.29
ORD100001,5325,2,2,20240223,10,15814.13,0.2,-1755.29
ORD100002,3,3,3,20220103,3,1189.17,0.1,77.07
ORD100002,635,3,3,20220103,3,1189.17,0.1,77.07
ORD100002,1371,3,3,20220103,3,1189.17,0.1,77.07
ORD100003,4,4,4,20240721,7,5138.32,0.1,-230.47
ORD100003,2553,4,4,20240721,7,5138.32,0.1,-230.47
ORD100003,3315,4,4,20240721,7,5138.32,0.1,-230.47
ORD100004,5,5,5,20240129,2,3885.66,0.15,523.16
ORD100004,3595,5,5,20240129,2,3885.66,0.15,523.16
ORD100004,4918,5,5,20240129,2,3885.66,0.15,523.16
ORD100005,6,6,6,20240305,3,304.44,0.15,-16.49
ORD100005,2578,6,6,20240305,3,304.44,0.15,-16.49
ORD100005,5344,6,6,20240305,3,304.44,0.15,-16.49
ORD100006,7,7,7,20230729,3,2034.18,0.3,-504.95
ORD100006,3027,7,7,20230729,3,2034.18,0.3,-504.95
ORD100006,4528,7,7,20230729,3,2034.18,0.3,-504.95
ORD100007,8,8,8,20240212,10,1438.19,0.1,148.08
ORD100007,2765,8,8,20240212,10,1438.19,0.1,148.08
ORD100008,9,9,6,20230919,10,3650.38,0.15,523.61
ORD100008,1272,9,6,20230919,10,3650.38,0.15,523.61
ORD100008,3604,9,6,20230919,10,3650.38,0.15,523.61
ORD100009,10,10,9,20241126,9,4880.39,0.3,-262.11
ORD100009,1472,10,9,20241126,9,4880.39,0.3,-262.11
ORD100009,4676,10,9,20241126,9,4880.39,0.3,-262.11
ORD100010,11,11,10,20220808,9,4314.42,0.15,207.54
